player;club;position;minutes;cluster
Julio Enciso;Brighton;MF,FW;294;1
Matt O'Riley;Brighton;MF;938;1
Simon Adingra;Brighton;FW,MF;1,097;1
Solly March;Brighton;FW,MF;168;1
Tariq Lamptey;Brighton;DF;860;1
Axel Disasi;Chelsea;DF;364;1
Benoît Badiashile;Chelsea;DF;334;1
Christopher Nkunku;Chelsea;FW;921;1
Filip Jørgensen;Chelsea;GK;540;1
Joshua Acheampong;Chelsea;DF;170;1
João Félix;Chelsea;FW,MF;369;1
Kiernan Dewsbury-Hall;Chelsea;MF,FW;264;1
Mykhailo Mudryk;Chelsea;FW;151;1
Reece James;Chelsea;DF,MF;1,063;1
Renato Veiga;Chelsea;DF,MF;181;1
Robert Sánchez;Chelsea;GK;2,880;1
Roméo Lavia;Chelsea;MF;797;1
Trevoh Chalobah;Chelsea;DF;910;1
Tyrique George;Chelsea;FW;183;1
Wesley Fofana;Chelsea;DF;1,172;1
Ben Chilwell;Crystal Palace;DF;259;1
Cheick Doucouré;Crystal Palace;MF;452;1
Chris Richards;Crystal Palace;DF;1,922;1
Dean Henderson;Crystal Palace;GK;3,420;1
Jeffrey Schlupp;Crystal Palace;MF,DF;103;1
Justin Devenny;Crystal Palace;MF;507;1
Nathaniel Clyne;Crystal Palace;DF,MF;483;1
Odsonne Édouard;Crystal Palace;MF,FW;115;1
Romain Esse;Crystal Palace;MF;138;1
Trevoh Chalobah;Crystal Palace;DF;1,060;1
Armando Broja;Everton;FW;334;1
Carlos Alcaraz;Everton;FW,MF;764;1
Jake O'Brien;Everton;DF;1,571;1
Jesper Lindstrøm;Everton;FW;1,239;1
Jordan Pickford;Everton;GK;3,420;1
Michael Keane;Everton;DF;1,049;1
Nathan Patterson;Everton;DF;347;1
Orel Mangala;Everton;MF;1,261;1
Séamus Coleman;Everton;DF;215;1
Tim Iroegbunam;Everton;MF;574;1
Bernd Leno;Fulham;GK;3,420;1
Harrison Reed;Fulham;MF;108;1
Issa Diop;Fulham;DF;1,339;1
Jorge Cuenca;Fulham;DF;351;1
Joshua King;Fulham;MF;130;1
Reiss Nelson;Fulham;FW;487;1
Rodrigo Muniz;Fulham;FW;964;1
Ryan Sessegnon;Fulham;FW,DF;580;1
Tom Cairney;Fulham;MF;628;1
Willian;Fulham;FW,MF;257;1
Alex Palmer;Ipswich Town;GK;1,170;1
Ali Al Hamadi;Ipswich Town;FW;134;1
Arijanet Muric;Ipswich Town;GK;1,620;1
Axel Tuanzebe;Ipswich Town;DF;1,710;1
Ben Godfrey;Ipswich Town;DF;159;1
Ben Johnson;Ipswich Town;DF,FW;1,354;1
Cameron Burgess;Ipswich Town;DF;1,541;1
Chiedozie Ogbene;Ipswich Town;FW;238;1
Christian Walton;Ipswich Town;GK;630;1
Conor Chaplin;Ipswich Town;MF,FW;857;1
Conor Townsend;Ipswich Town;DF;335;1
George Hirst;Ipswich Town;FW;661;1
Harry Clarke;Ipswich Town;DF;379;1
Jack Taylor;Ipswich Town;MF;860;1
Jaden Philogene Bidace;Ipswich Town;FW,DF;474;1
Julio Enciso;Ipswich Town;MF,FW;869;1
Kalvin Phillips;Ipswich Town;MF;1,237;1
Luke Woolfenden;Ipswich Town;DF;1,187;1
Massimo Luongo;Ipswich Town;MF;201;1
Nathan Broadhead;Ipswich Town;MF,FW;702;1
Sammie Szmodics;Ipswich Town;FW,MF;992;1
Wes Burns;Ipswich Town;FW,DF;926;1
Abdul Fatawu Issahaku;Leicester City;FW;579;1
Bobby De Cordova-Reid;Leicester City;FW;744;1
Caleb Okoli;Leicester City;DF;1,125;1
Conor Coady;Leicester City;DF;1,714;1
Danny Ward;Leicester City;GK;135;1
Hamza Choudhury;Leicester City;MF,DF;131;1
Jakub Stolarczyk;Leicester City;GK;900;1
Jannik Vestergaard;Leicester City;DF;1,391;1
Jeremy Monga;Leicester City;FW,MF;112;1
Jordan Ayew;Leicester City;FW,MF;1,638;1
Kasey McAteer;Leicester City;FW;852;1
Luke Thomas;Leicester City;DF;1,110;1
Mads Hermansen;Leicester City;GK;2,385;1
Oliver Skipp;Leicester City;MF;1,129;1
Patson Daka;Leicester City;FW,MF;736;1
Ricardo Pereira;Leicester City;DF;388;1
Woyo Coulibaly;Leicester City;DF;109;1
Alisson;Liverpool;GK;2,508;1
Caoimhín Kelleher;Liverpool;GK;900;1
Conor Bradley;Liverpool;DF;754;1
Federico Chiesa;Liverpool;FW;108;1
Harvey Elliott;Liverpool;MF;371;1
Jarell Quansah;Liverpool;DF;495;1
Joe Gomez;Liverpool;DF;519;1
Kostas Tsimikas;Liverpool;DF;837;1
Wataru Endo;Liverpool;MF,DF;273;1
Abdukodir Khusanov;Manchester City;DF;503;1
Ederson;Manchester City;GK;2,320;1
Jack Grealish;Manchester City;FW,MF;721;1
Jahmai Simpson-Pusey;Manchester City;DF;96;1
James Mcatee;Manchester City;MF,FW;349;1
John Stones;Manchester City;DF,MF;548;1
Kyle Walker;Manchester City;DF;970;1
Nathan Aké;Manchester City;DF;678;1
Nico O’Reilly;Manchester City;DF;528;1
Nicolás González;Manchester City;MF;760;1
Stefan Ortega;Manchester City;GK;1,100;1
Altay Bayındır;Manchester Utd;GK;360;1
André Onana;Manchester Utd;GK;3,060;1
Antony;Manchester Utd;DF,MF;141;1
Ayden Heaven;Manchester Utd;DF;170;1
Chidozie Obi-Martin;Manchester Utd;FW;165;1
Harry Amass;Manchester Utd;DF;346;1
Jonny Evans;Manchester Utd;DF;315;1
Joshua Zirkzee;Manchester Utd;FW,MF;1,402;1
Leny Yoro;Manchester Utd;DF;1,165;1
Luke Shaw;Manchester Utd;DF;349;1
Marcus Rashford;Manchester Utd;FW,MF;978;1
Mason Mount;Manchester Utd;MF;622;1
Patrick Dorgu;Manchester Utd;DF;842;1
Rasmus Højlund;Manchester Utd;FW;2,004;1
Toby Collyer;Manchester Utd;MF;179;1
Tyler Fredricson;Manchester Utd;DF;165;1
Tyrell Malacia;Manchester Utd;DF;100;1
Victor Lindelöf;Manchester Utd;DF;704;1
Callum Wilson;Newcastle Utd;FW;370;1
Emil Krafth;Newcastle Utd;DF;342;1
Joe Willock;Newcastle Utd;MF,FW;1,086;1
Lewis Miley;Newcastle Utd;MF;313;1
Lloyd Kelly;Newcastle Utd;DF;303;1
Martin Dúbravka;Newcastle Utd;GK;900;1
Miguel Almirón;Newcastle Utd;FW;157;1
Nick Pope;Newcastle Utd;GK;2,520;1
Sean Longstaff;Newcastle Utd;MF;798;1
Sven Botman;Newcastle Utd;DF;412;1
William Osula;Newcastle Utd;FW;134;1
Danilo;Nott'ham Forest;MF,FW;275;1
Harry Toffolo;Nott'ham Forest;DF;137;1
Ibrahim Sangaré;Nott'ham Forest;MF;590;1
James Ward-Prowse;Nott'ham Forest;MF;400;1
Jota Silva;Nott'ham Forest;FW,MF;854;1
Matz Sels;Nott'ham Forest;GK;3,420;1
Morato;Nott'ham Forest;DF;907;1
Ramón Sosa;Nott'ham Forest;FW,MF;295;1
Taiwo Awoniyi;Nott'ham Forest;FW;416;1
Willy Boly;Nott'ham Forest;DF;150;1
Álex Moreno;Nott'ham Forest;DF,MF;955;1
Aaron Ramsdale;Southampton;GK;2,700;1
Adam Armstrong;Southampton;FW,MF;1,248;1
Adam Lallana;Southampton;MF;361;1
Albert Grønbaek;Southampton;FW,MF;143;1
Alex McCarthy;Southampton;GK;450;1
Armel Bella Kotchap;Southampton;DF;331;1
Ben Brereton;Southampton;FW;449;1
Cameron Archer;Southampton;FW;1,441;1
Charlie Taylor;Southampton;DF;356;1
Jack Stephens;Southampton;DF;1,389;1
James Bree;Southampton;DF;1,075;1
Jay Robinson;Southampton;MF,FW;137;1
Joe Lumley;Southampton;GK;270;1
Kamaldeen Sulemana;Southampton;FW,MF;1,402;1
Nathan Wood-Gordon;Southampton;DF;773;1
Paul Onuachu;Southampton;FW;1,050;1
Ross Stewart;Southampton;FW;389;1
Ryan Fraser;Southampton;FW,DF;306;1
Welington;Southampton;DF;482;1
William Smallbone;Southampton;MF;690;1
Antonín Kinský;Tottenham;GK;540;1
Archie Gray;Tottenham;DF,MF;1,751;1
Ben Davies;Tottenham;DF;1,331;1
Fraser Forster;Tottenham;GK;630;1
Guglielmo Vicario;Tottenham;GK;2,160;1
Kevin Danso;Tottenham;DF;842;1
Mathys Tel;Tottenham;FW;911;1
Micky van de Ven;Tottenham;DF;1,015;1
Mikey Moore;Tottenham;FW;366;1
Radu Drăgușin;Tottenham;DF;1,252;1
Richarlison;Tottenham;FW;504;1
Sergio Reguilón;Tottenham;DF;196;1
Timo Werner;Tottenham;FW,MF;516;1
Wilson Odobert;Tottenham;FW,MF;850;1
Aaron Cresswell;West Ham;DF;824;1
Alphonse Areola;West Ham;GK;2,260;1
Andy Irving;West Ham;MF;166;1
Carlos Soler;West Ham;MF,FW;1,409;1
Crysencio Summerville;West Ham;FW,MF;786;1
Danny Ings;West Ham;FW,MF;284;1
Evan Ferguson;West Ham;FW;156;1
Guido Rodríguez;West Ham;MF;1,149;1
James Ward-Prowse;West Ham;MF;1,039;1
Luis Guilherme;West Ham;MF,FW;150;1
Michail Antonio;West Ham;FW;836;1
Niclas Füllkrug;West Ham;FW;790;1
Oliver Scarles;West Ham;DF,FW;665;1
Vladimír Coufal;West Ham;DF;1,067;1
Łukasz Fabiański;West Ham;GK;1,160;1
Carlos Forbs;Wolves;MF,FW;239;1
Craig Dawson;Wolves;DF;971;1
Daniel Bentley;Wolves;GK;180;1
Emmanuel Agbadou;Wolves;DF;1,410;1
Gonçalo Guedes;Wolves;MF,FW;995;1
Hwang Hee-chan;Wolves;MF,FW;661;1
José Sá;Wolves;GK;2,609;1
Marshall Munetsi;Wolves;MF,FW;1,078;1
Pablo Sarabia;Wolves;MF,FW;814;1
Rodrigo Gomes;Wolves;DF,FW;810;1
Sam Johnstone;Wolves;GK;630;1
Santiago Bueno;Wolves;DF;1,687;1
Tommy Doyle;Wolves;MF;488;1
Yerson Mosquera;Wolves;DF;441;1
Bukayo Saka;Arsenal;FW,MF;1,729;2
Gabriel Martinelli;Arsenal;FW,MF;2,290;2
Kai Havertz;Arsenal;FW,MF;1,875;2
Leandro Trossard;Arsenal;FW;2,546;2
Martin Ødegaard;Arsenal;MF;2,325;2
Mikel Merino;Arsenal;MF,FW;1,586;2
Morgan Rogers;Aston Villa;FW,MF;3,114;2
Ollie Watkins;Aston Villa;FW;2,598;2
Antoine Semenyo;Bournemouth;FW;3,203;2
Dango Ouattara;Bournemouth;FW;2,005;2
Evanilson;Bournemouth;FW;2,319;2
Justin Kluivert;Bournemouth;MF;2,340;2
Marcus Tavernier;Bournemouth;FW,MF;1,939;2
Bryan Mbeumo;Brentford;FW;3,414;2
Kevin Schade;Brentford;FW;2,293;2
Yoane Wissa;Brentford;FW;2,919;2
Danny Welbeck;Brighton;FW;2,115;2
Georginio Rutter;Brighton;MF,FW;1,656;2
João Pedro;Brighton;FW,MF;1,948;2
Kaoru Mitoma;Brighton;FW,MF;2,603;2
Yankuba Minteh;Brighton;FW,MF;1,838;2
Cole Palmer;Chelsea;MF,FW;3,191;2
Enzo Fernández;Chelsea;MF;2,947;2
Nicolas Jackson;Chelsea;FW;2,220;2
Noni Madueke;Chelsea;FW;2,033;2
Pedro Neto;Chelsea;FW;2,269;2
Eberechi Eze;Crystal Palace;MF,FW;2,588;2
