metric;top_team;value
shooting__pens_made;Tottenham;0,17
shooting__shots_free_kicks;Brighton;0,77
shooting__shots;Fulham;17,6
shooting__shots_on_target;Fulham;8,16
shooting__shots_on_target_pct;Nott'ham Forest;39,17
shooting__shots_on_target_per90;Fulham;0,99
shooting__shots_per90;Fulham;2,3
shooting__xg;Fulham;2,2
shooting__xg_net;Fulham;1,15
xg_assist;West Ham;1,25
xg_assist_per90;West Ham;0,16
xg;Fulham;2,2
xg_per90;Aston Villa;0,29
xg_xg_assist_per90;Aston Villa;0,38
